evaluator1_categories,-10°C to 0°C,0°C to 10°C,10°C to 20°C,20°C to 30°C,< -10°C,> 30°C
-10°C to 0°C,3924.142050638686,4900.519787864963,2891.060960310219,1712.171247718978,581.6143932481751,195.4915602189781
0°C to 10°C,4854.278360705596,6062.086146593674,3576.326870437956,2118.005854622871,719.4739963503649,241.8287712895377
10°C to 20°C,3453.9632565389293,4313.35437576034,2544.662807937956,1507.0240837895378,511.927121350365,172.06835462287106
20°C to 30°C,1928.2303071776155,2407.999163625304,1420.5987682481752,841.3203315085158,285.7915145985401,96.05991484184915
< -10°C,304.4283378953771,380.17407998783455,224.2836450729927,132.8273646593674,45.120666058394164,15.165906326034063
> 30°C,67.95768704379562,84.86644616788321,50.06694799270073,29.651117700729927,10.072308394160585,3.385492700729927
