water_year,month,day,calendar_year,hour,sme2_ta_C,smf1_ta_C,smg1_ta_C,smg2_ta_C,smm1_ta_C,smm2_ta_C
2008,2,10,2008,16,3.4,5.0,5.4,4.3,5.3,3.7
2010,9,10,2010,10,8.1,9.9,10.2,9.3,10.6,8.5
2010,1,19,2010,22,-2.8,-1.5,-1.0,-2.3,-1.2,-3.7
2012,12,12,2011,8,-4.1,-6.6,-7.2,-3.7,-7.3,-3.4
2008,4,24,2008,18,3.0,3.5,4.8,3.4,4.8,3.1
2012,6,28,2012,20,22.8,22.3,23.4,23.8,22.2,23.6
2010,7,23,2010,21,17.9,16.4,17.8,18.8,13.0,18.0
2008,3,13,2008,4,-1.0,-0.1,-0.2,-0.5,-0.0,-0.7
2008,2,14,2008,15,0.7,2.3,2.7,1.0,0.5,0.5
2008,8,25,2008,22,15.4,16.5,16.8,16.2,16.0,15.7
2008,7,20,2008,23,22.0,21.4,23.1,22.5,20.8,22.8
2011,8,28,2011,11,26.8,29.1,29.2,27.7,28.9,27.5
2012,7,1,2012,15,22.2,24.4,24.8,23.4,24.5,22.9
2008,10,18,2007,21,5.8,0.9,1.8,6.3,0.8,6.5
2013,9,23,2013,13,13.3,14.9,15.9,13.8,15.3,13.7
2008,3,22,2008,5,-6.2,-9.9,-6.3,-5.6,-10.7,-4.7
2009,10,1,2008,23,17.1,16.2,18.0,17.3,12.0,16.4
2008,8,21,2008,22,12.6,13.9,14.5,13.8,13.7,13.5
2010,5,16,2010,23,13.3,12.3,14.4,13.5,11.8,13.2
