water_year,month,day,calendar_year,hour,sme2_ta_C,smf1_ta_C,smg1_ta_C,smg2_ta_C,smm1_ta_C,smm2_ta_C
2010,10,16,2009,11,15.1,16.8,17.0,15.4,16.7,14.1
2008,3,5,2008,14,-0.9,1.8,2.1,0.1,1.1,-0.9
2011,12,21,2010,6,-4.7,-8.8,-4.9,-4.4,-9.7,-3.7
2012,10,17,2011,19,7.2,3.5,5.3,6.8,2.8,9.2
2012,12,12,2011,17,-3.5,-2.7,-2.1,-2.7,-1.9,-2.8
2013,12,10,2012,21,0.7,1.5,2.2,1.1,2.2,1.5
2011,1,13,2011,15,-0.3,0.1,0.5,0.3,0.8,-0.2
2009,1,31,2009,20,-2.0,-6.6,-7.3,-1.7,-7.5,-3.1
2009,7,30,2009,23,19.6,16.9,17.7,18.9,15.2,19.0
2013,10,27,2012,6,0.5,-4.6,-3.7,-0.5,-5.3,1.2
2008,7,10,2008,10,24.6,26.6,26.6,25.5,26.6,24.6
2012,3,4,2012,4,-0.1,-6.2,-5.7,-0.7,-6.0,1.6
2010,2,18,2010,21,-3.9,-4.9,-2.7,-3.6,-4.4,-3.9
2010,9,29,2010,21,18.3,17.3,18.6,18.1,17.9,19.6
2008,4,29,2008,22,-1.2,0.5,0.7,-0.3,0.3,-0.6
2012,12,13,2011,20,-4.7,-9.2,-9.1,-4.3,-9.9,-4.1
2013,3,11,2013,16,4.9,6.9,8.0,6.0,7.2,6.2
2010,8,19,2010,13,23.9,27.0,26.5,25.1,26.5,23.0
2008,4,19,2008,5,-1.7,-1.6,-2.1,-1.7,-2.0,-1.5
2013,12,3,2012,10,-0.3,-2.4,1.4,0.6,-1.7,1.4
2012,3,10,2012,9,7.6,3.2,8.4,9.8,6.8,8.4
2010,5,11,2010,4,-0.8,0.3,0.7,-0.4,0.6,-1.8
2013,11,26,2012,8,-5.2,-3.8,-3.1,-4.6,-3.2,-4.2
2008,9,7,2008,17,21.6,22.1,23.1,21.9,22.4,20.6
2008,1,8,2008,23,-3.2,-2.0,-1.8,-2.6,-2.1,-2.8
2008,3,18,2008,8,0.0,1.0,1.4,0.7,1.4,0.1
2011,4,23,2011,0,-1.8,-2.1,-1.2,-2.0,-3.0,-0.9
2012,8,6,2012,22,21.6,22.8,23.7,22.5,22.2,23.0
2013,3,18,2013,4,-5.1,-5.1,-5.0,-4.3,-5.0,-4.3
2008,11,13,2007,7,3.7,4.6,4.8,4.2,4.4,4.0
2010,1,20,2010,9,-4.1,-3.7,-2.8,-3.4,-3.3,-5.1
2008,8,24,2008,21,25.2,19.5,20.2,25.6,18.7,25.7
2010,8,26,2010,1,21.3,21.7,24.1,21.7,23.2,22.8
2012,11,2,2011,2,-5.9,-9.2,-9.5,-5.9,-10.0,-5.5
2009,4,19,2009,7,8.8,1.7,3.2,9.8,1.1,8.3
2012,11,6,2011,21,-4.1,-4.1,-3.6,-3.7,-4.2,-3.4
2012,3,18,2012,5,-3.7,-2.3,-2.0,-3.0,-1.8,-3.1
2008,4,15,2008,12,-4.1,-0.3,-1.1,-2.7,-1.3,-3.9
2012,10,1,2011,23,14.8,11.3,12.4,15.6,11.6,15.2
2009,2,5,2009,22,-0.6,0.5,0.6,0.0,-0.3,-1.8
2013,10,10,2012,17,18.3,18.0,19.9,18.9,19.6,19.2
2010,11,3,2009,10,9.8,8.2,11.4,10.1,10.3,8.9
2012,11,26,2011,1,-4.2,-6.3,-5.2,-3.6,-7.5,-3.4
2012,11,20,2011,12,2.1,3.1,3.3,2.1,3.3,1.9
2012,12,12,2011,10,-2.1,-3.5,-2.9,-1.3,-1.2,-1.4
2013,12,13,2012,6,-4.9,-3.4,-2.9,-4.4,-2.8,-3.7
2010,5,16,2010,10,17.3,19.4,19.8,17.9,19.7,16.8
2013,5,14,2013,16,20.1,22.3,22.8,20.9,22.1,21.3
2011,6,19,2011,21,9.6,7.5,8.8,9.8,7.0,9.2
2010,8,16,2010,9,20.7,21.5,22.3,21.1,22.7,19.5
2009,8,14,2009,12,14.1,17.3,16.4,15.1,16.2,13.1
2012,4,18,2012,13,8.8,11.1,11.2,9.9,11.1,9.0
2013,7,11,2013,5,17.3,14.1,14.6,18.1,15.0,18.9
2008,5,27,2008,3,5.9,4.8,4.8,6.4,4.0,6.5
2009,9,27,2009,9,17.4,16.4,19.0,18.3,17.7,16.5
2011,12,9,2010,0,1.1,0.3,0.6,1.4,0.6,1.6
2009,1,13,2009,19,3.9,-2.7,-3.2,4.0,-2.7,2.8
2013,5,11,2013,4,13.5,6.0,7.6,13.2,5.5,15.8
2012,2,8,2012,4,-1.6,-1.2,-1.0,-0.9,-1.8,-1.3
2008,12,27,2007,10,-11.4,-9.7,-9.8,-10.8,-10.1,-11.1
2008,3,8,2008,18,0.7,1.5,2.2,1.4,2.1,1.1
2008,12,31,2007,7,-11.3,-14.8,-15.2,-10.8,-15.0,-10.7
2010,4,11,2010,20,7.3,8.7,9.2,8.1,8.4,6.6
2008,6,27,2008,11,20.7,23.3,22.9,21.6,22.6,21.0
2010,12,1,2009,17,-1.2,-1.1,-0.2,-0.7,-1.3,-2.2
2012,2,4,2012,8,-5.0,-6.8,-3.1,-4.5,-4.2,-3.1
2008,10,2,2007,16,12.4,14.1,14.6,13.6,14.1,13.0
2010,10,19,2009,11,6.7,8.5,8.9,7.4,8.8,5.8
2009,4,14,2009,7,-5.4,-4.0,-4.3,-4.7,-4.7,-6.4
2011,5,22,2011,11,10.9,13.4,13.4,11.9,13.7,11.7
2008,6,5,2008,23,7.4,8.7,9.1,8.4,8.3,7.8
2010,5,10,2010,5,1.4,-0.4,-0.5,1.8,-0.6,0.6
2013,8,19,2013,16,25.6,26.5,27.9,26.2,27.9,26.7
2013,5,17,2013,18,5.5,6.1,7.3,5.8,7.3,6.5
2011,8,2,2011,23,18.4,17.9,19.4,19.3,15.7,19.6
2008,7,15,2008,15,27.5,30.0,29.9,28.4,29.5,27.7
2013,2,5,2013,6,1.6,-4.5,-3.8,0.1,-4.3,2.8
2009,2,28,2009,3,-3.8,-2.9,-2.8,-3.3,-8.0,-3.9
2012,11,10,2011,18,5.1,-0.3,0.2,5.6,-0.8,6.3
2009,6,6,2009,11,7.9,9.5,9.3,8.6,9.1,6.8
2009,7,18,2009,22,26.4,22.2,23.6,26.8,19.0,25.0
2013,11,15,2012,16,5.0,6.2,7.1,5.6,7.0,6.1
2011,5,1,2011,4,-2.2,-5.1,-3.8,-2.0,-6.0,-0.1
2011,8,21,2011,22,23.2,14.9,15.0,22.1,13.1,24.1
2013,1,21,2013,1,1.8,-9.0,-9.0,0.0,-7.6,3.3
2012,3,22,2012,14,12.4,14.3,14.7,13.2,14.2,12.3
2010,8,8,2010,21,15.0,15.9,16.3,15.7,15.7,14.2
2011,7,29,2011,5,17.3,10.2,10.6,16.8,8.3,18.9
2013,7,18,2013,23,21.6,22.0,23.1,21.9,23.7,23.1
2011,1,9,2011,22,-11.0,-16.0,-16.1,-10.6,-15.8,-10.7
2008,7,8,2008,4,16.5,9.4,8.4,14.9,10.6,15.3
2012,2,16,2012,13,0.8,2.0,2.7,1.2,2.2,1.2
2013,4,28,2013,8,8.2,9.5,10.7,9.1,10.7,9.2
2008,5,20,2008,8,18.7,19.7,20.9,19.9,20.4,19.6
